ticker,tipo,sub_tipo,pais,nombre
ANDINA-B.SN,accion,ipsa,Chile,Embotelladora Andina S.A. Serie B
ANTA-B.SN,accion,ipsa,Chile,Antarchile S.A.
BSANTANDER.SN,accion,ipsa,Chile,Banco Santander-Chile
BCI.SN,accion,ipsa,Chile,Banco de Crédito e Inversiones
BLUMAR.SN,accion,ipsa,Chile,Blumar S.A.
CCU.SN,accion,ipsa,Chile,Compañía Cervecerías Unidas S.A.
CHILE.SN,accion,ipsa,Chile,Banco de Chile
CMPC.SN,accion,ipsa,Chile,Empresas CMPC S.A.
COPEC.SN,accion,ipsa,Chile,Empresas Copec S.A.
CONCHATORO.SN,accion,ipsa,Chile,Viña Concha y Toro S.A.
CENCOSUD.SN,accion,ipsa,Chile,Cencosud S.A.
ENELAM.SN,accion,ipsa,Chile,Enel Américas S.A.
ENELCHILE.SN,accion,ipsa,Chile,Enel Chile S.A.
ENGIE.SN,accion,ipsa,Chile,Engie Energía Chile S.A.
ECL.SN,accion,ipsa,Chile,ECL S.A.
FALABELLA.SN,accion,ipsa,Chile,S.A.C.I. Falabella
IAM.SN,accion,ipsa,Chile,Inversiones Aguas Metropolitanas S.A.
ITAUCL.SN,accion,ipsa,Chile,Itaú CorpBanca
LTM.SN,accion,ipsa,Chile,LATAM Airlines Group S.A.
MASISA.SN,accion,ipsa,Chile,Masisa S.A.
ORO-B.SN,accion,ipsa,Chile,Empresas Iansa S.A.
PARAUCO.SN,accion,ipsa,Chile,Parque Arauco S.A.
QUINENCO.SN,accion,ipsa,Chile,Quinenco S.A.
RIPLEY.SN,accion,ipsa,Chile,Ripley Corp S.A.
SALFACORP.SN,accion,ipsa,Chile,Salfacorp S.A.
SECURITY.SN,accion,ipsa,Chile,Grupo Security S.A.
SK.SN,accion,ipsa,Chile,SK S.A.
SM-CHILE-B.SN,accion,ipsa,Chile,Soc. Matriz del Banco de Chile S.A. Serie B
SONDA.SN,accion,ipsa,Chile,Sonda S.A.
VAPORES.SN,accion,ipsa,Chile,Compañía Sud Americana de Vapores S.A.
